event_id,true_label,actor_norm,notes,pred_label_llama3.2:3b,pred_label_mistral:7b,pred_prob_llama3.2:3b,pred_prob_mistral:7b,disagreement_count,max_confidence
CAO8281,S,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"Looting: On 18 December 2023, ISWAP or Boko Haram militants looted 2 houses in Waza (Waza, Logone-et-Chari, Extreme-Nord).",E,V,0.98,0.9499999999999998,2,0.98
CAO10613,S,Ambazonian Separatists (Cameroon),"Looting: On 10 May 2023, Ambazonian Separatists from the Restoration Forces extorted money amounting to 200,000 FCFA from a civilian whom they imposed as the new traditional chief in Makwe, Upper Bayang commune, coded to Tinto (Manyu, Sud-Ouest). They also forced the civilians to buy a motorcycle for the man to 'support his reign.' The legal leader fled to Mamfe when the Separatists demanded 500,000 FCFA from him.",E,V,0.98,0.8700000000000001,2,0.98
CAO4585,V,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 26 April 2021, suspected Boko Haram fighters attacked Takoudele village, Kourgui town, Mora subdivision (Mayo-Sava, Extreme-Nord). They kidnapped a young girl, and took away goods. No fatality and/or casualty reported.",B,R,0.98,0.75,2,0.98
CAO14584,S,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"Looting: On 21 August 2024, Boko Haram (JAS) (likely) militants looted 1 motorbike and goods along the Amchide - Ganse road in Guederou (Kolofata, Mayo-Sava, Extreme-Nord).",E,R,0.98,0.85,2,0.98
CAO3670,S,Military Forces of Cameroon (1982-) Gendarmerie,"Around 14 September 2020 (as reported), the gendarmerie and police forces arrested 'over a dozen' civilians in Moloundou town (Boumba-Et-Ngoko, Est) for not having national ID cards.",P,V,0.98,0.75,2,0.98
CAO8757,S,Unidentified Armed Group (Cameroon),"Looting: Around 17 March 2024 (as reported), an unidentified armed group suspected of being ISWAP or Boko Haram militants looted food items, clothing and 1 bicycle in Ganse (Kolofata, Mayo-Sava, Extreme-Nord).",E,V,0.98,0.8700000000000001,2,0.98
CAO11447,S,Military Forces of Cameroon (1982-),"Other: On 4 July 2023, state security forces, coded as military forces, on vehicular patrol shot into the air at the cattle market in Lassin (Bui, Nord-Ouest) to prevent an attack by Ambazonian Separatists after they tipped off that a separatists camp opened in the area.",E,V,0.98,0.85,2,0.98
CAO14672,S,Ambazonian Separatists (Cameroon),"Looting: On 3 July 2024, Ambazonian Separatists from the Restoration Forces faction extorted money, coded as looting, from civilians at an illegal checkpoint on the main road in Bamessing (Tubah, Mezam, Nord-Ouest).",E,V,0.98,0.85,2,0.98
CAO3287,V,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 18 May 2020, Boko Haram attacked the village of Tolkomari, Kolofata subdivision (Mayo-Sava, Extreme-Nord). No fatality and/or casualty reported.",B,E,0.98,0.85,2,0.98
CAO6214,S,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"Property destruction: Around 20 June 2022, Boko Haram (JAS) (likely) burnt houses and looted items in Djakana village, around Limani (Limani, Mayo-Sava, Extreme-Nord), including 4 bicycles.",E,R,0.98,0.85,2,0.98
CAO9976,S,Military Forces of Cameroon (1982-),"Defusal: On 1 October 2021, state forces, coded as military, defused an IED planted by Ambazonian Separatists in Oku (Bui, Nord-Ouest).",S,E,0.85,0.98,2,0.98
CAO11112,S,Ambazonian Separatists (Cameroon),"Looting: On 2 February 2024, Ambazonian Separatists extorted money and food items from business persons at the market square in Lassin (Noni, Bui, Nord-Ouest).",E,V,0.98,0.85,2,0.98
CAO13505,S,Ambazonian Separatists (Cameroon),"Looting: On 10 April 2024, Ambazonian Separatists from the Restoration Forces faction extorted money from commercial motorbike riders and their passengers in Bulu Camp (Mundemba, Ndian, Sud-Ouest) on their way to the market and farms.",E,V,0.98,0.85,2,0.98
