event_id,model,true_label,pred_label,pred_conf_temp,notes,actor_norm,annotation_provenance,annotation_ambiguous_actor,annotation_verb_intensity,annotation_casualty_counts,annotation_passive_voice,annotation_notes
CAO13672,llama3.2:3b,V,S,0.85,"On 15 April 2024, Ambazonian Separatists from the ADF abducted 4 men and 2 women at a checkpoint in Mambanda (Kumba 2, Meme, Sud-Ouest). The militants also looted 3 motorbikes. The reason for the abduction is not known.",Ambazonian Separatists (Cameroon),Local/Community,No,Medium,No,Unknown,[auto-generated]
CAO3188,llama3.2:3b,V,S,0.85,"On 16 April 2020, military forces killed three former Ambazonian separatists in Balikumbat town (Ngo-ketunjia, Nord-Ouest).",Military Forces of Cameroon (1982-),Independent-National,No,High,Yes (3),No,[auto-generated]
CAO4198,llama3.2:3b,V,S,0.85,"On 7 January 2021, suspected Ambazonian separatists kidnapped between 6 and 7 students in Mulang neighborhood of Bamenda town (Mezam, Nord-Ouest).",Ambazonian Separatists (Cameroon),Unknown,No,Medium,No,Yes,[auto-generated]
CAO7298,llama3.2:3b,V,S,0.85,"On 15 May 2023, ISWAP or Boko Haram militants abducted 2 herders in Zigague (Waza, Logone-et-Chari, Extreme-Nord) and stole a head of oxen. The herders and the oxen were freed when the militants spotted the security forces who had been following them.",Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Local/Community,No,Medium,No,Yes,[auto-generated]
CAO3758,llama3.2:3b,V,S,0.85,"Around 11 October 2020 (as reported), Ambazonian separatists kidnapped 3 Mbororo ethnic men in Ngarbuh village, near Nkambe (Donga-Mantung, Nord-Ouest). They are suspected to be involved in the killing of a separatist fighter on October 10.",Ambazonian Separatists (Cameroon),State-affiliated,No,High,No,Yes,[auto-generated]
CAO4585,llama3.2:3b,V,B,0.98,"On 26 April 2021, suspected Boko Haram fighters attacked Takoudele village, Kourgui town, Mora subdivision (Mayo-Sava, Extreme-Nord). They kidnapped a young girl, and took away goods. No fatality and/or casualty reported.",Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Local/Community,No,Medium,Yes (unspecified),Mixed,[auto-generated]
CAO14355,llama3.2:3b,V,S,0.85,"On 8 May 2024, Ambazonian Separatists abducted a ship owner alongside two skippers after intercepting 2 ships in the Cameroon-Nigeria waterway in Mabeta (Limbe 3, Fako, Sud-Ouest). The militants later released the men after they paid the sum of approximately 700,000 Franc CFA.",Ambazonian Separatists (Cameroon),Local/Community,No,Medium,No,Unknown,[auto-generated]
CAO11069,llama3.2:3b,V,S,0.85,"On 15 December 2023, Ambazonian Separatists kidnapped an employee of the Mbonge municipal council in Kombone (Kumba 1, Meme, Sud-Ouest). They accused him of working closely with the Mayor of the municipality, who is seen as a security forces collaborator.",Ambazonian Separatists (Cameroon),Local/Community,No,Medium,No,Unknown,[auto-generated]
CAO4190,llama3.2:3b,V,B,0.92,"On 4 January 2021, Ambazonian separatists burnt a transport truck, killed the driver and reportedly injured his assistant in Ewili village, around Buea (Fako, Sud-Ouest). They accused the victims of not respecting their stop order.",Ambazonian Separatists (Cameroon),Independent-National,No,High,Yes (1),Yes,[auto-generated]
CAO3287,llama3.2:3b,V,B,0.98,"On 18 May 2020, Boko Haram attacked the village of Tolkomari, Kolofata subdivision (Mayo-Sava, Extreme-Nord). No fatality and/or casualty reported.",Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Independent-National,No,Medium,Yes (unspecified),No,[auto-generated]
