event_id,true_label,actor_norm,notes,pred_label_llama3.2:3b,pred_label_olmo2:7b,pred_prob_llama3.2:3b,pred_prob_olmo2:7b,disagreement_count,max_confidence
CAO8281,S,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"Looting: On 18 December 2023, ISWAP or Boko Haram militants looted 2 houses in Waza (Waza, Logone-et-Chari, Extreme-Nord).",S,V,0.999999999999,0.9499999999999998,2,0.999999999999
CAO4946,V,Ambazonian Separatists (Cameroon),"On 13 January 2021, Ambazonian separatists kidnapped a truck driver and his assistant in Bukow village, Ndop subdivision (Ngo-Ketunjia, Nord-Ouest).",V,S,0.999999999999,0.8999999999999999,2,0.999999999999
CAO4198,V,Ambazonian Separatists (Cameroon),"On 7 January 2021, suspected Ambazonian separatists kidnapped between 6 and 7 students in Mulang neighborhood of Bamenda town (Mezam, Nord-Ouest).",V,S,0.999999999999,0.8999999999999999,2,0.999999999999
CAO4930,V,Ambazonian Separatists (Cameroon),"On 21 November 2020, Ambazonian separatists kidnapped a retired military officer from his home in Mankon town, Bamenda 2 subdivision (Bamenda - Mankon, Mezam, Nord-Ouest).",V,S,0.999999999999,0.8999999999999999,2,0.999999999999
CAO13380,B,Military Forces of Cameroon (1982-),"On 4 April 2024, the security forces, coded as the military forces shot and killed an unknown Separatist commander at the market in Agyati (Bafut, Mezam, Nord-Ouest). The Separatist tried to escape leading to the military forces shooting him. He died of his injuries.",V,B,0.999999999999,0.9499999999999998,2,0.999999999999
CAO13505,S,Ambazonian Separatists (Cameroon),"Looting: On 10 April 2024, Ambazonian Separatists from the Restoration Forces faction extorted money from commercial motorbike riders and their passengers in Bulu Camp (Mundemba, Ndian, Sud-Ouest) on their way to the market and farms.",V,R,0.999999999999,0.8999999999999999,2,0.999999999999
CAO7600,R,Rioters (Cameroon),"On 26 August 2023, a mob attacked thieves who had killed an elderly woman while robbing her in Brazzaville neighbourhood, in the outskirts of Douala (Douala 1, Wouri, Littoral). Two managed to escape while a third was beaten to death.",V,R,0.999999999999,0.9499999999999998,2,0.999999999999
CAO11825,V,Ambazonian Separatists (Cameroon),"On 3 July 2022, Ambazonian Separatists abducted two workers of a government-owned agro-industrial company, (PAMOL) in Mabonji (Meme, Sud-Ouest).",V,S,0.999999999999,0.8999999999999999,2,0.999999999999
CAO13440,B,Ambazonian Separatists (Cameroon),"Around 13 May 2024 (as reported), Ambazonian Separatists ambushed patrolling gendarmerie forces along the Ayukaba and Eyangchang villages, coded to Ayukaba (Mamfe, Manyu, Sud-Ouest). The brigade commander and 4 gendarmerie officers were killed. The Separatists looted their weapons and ammunition and burnt the victim's bodies.",B,V,0.8999999999999999,0.99,2,0.99
CAO6214,S,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"Property destruction: Around 20 June 2022, Boko Haram (JAS) (likely) burnt houses and looted items in Djakana village, around Limani (Limani, Mayo-Sava, Extreme-Nord), including 4 bicycles.",P,V,0.8999999999999999,0.99,2,0.99
CAO4298,B,Military Forces of Cameroon (1982-),"On 23 January 2021, the military forces engaged in fire fights with Ambazonian separatists in Mulang and Meta neighborhood of Bamenda town, Bamenda 2 subdivision (Mezam, Nord-Ouest). Four civilians were killed, reportedly by the military forces.",B,V,0.8999999999999999,0.99,2,0.99
CAO2836,V,Military Forces of Cameroon (1982-),"On 13 January 2020, the military forces attacked Kumbo town, in Jakiri subdivision (Bui, Nord-Ouest). They reportedly killed one person, and burnt over 8 houses in several areas of the town.",B,V,0.8999999999999999,0.99,2,0.99
CAO8337,V,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"Around 30 December 2023 (as reported), Boko Haram (JAS) (likely) militants attacked Soukoule, coded to Mora (Mora, Mayo-Sava, Extreme-Nord). 1 civilian was killed and 3 motorbikes were taken away.",B,V,0.8999999999999999,0.99,2,0.99
CAO10079,S,Civilians (Cameroon),"Displacement: On 2 February 2023, civilians were displaced for fear of retaliation attacks from, the state security forces in Diongo (Dibombari, Moungo, Littoral) after suspected Ambazonian Separatists mounted an illegal checkpoint paralyzing vehicle movement.",S,V,0.8999999999999999,0.99,2,0.99
CAO14672,S,Ambazonian Separatists (Cameroon),"Looting: On 3 July 2024, Ambazonian Separatists from the Restoration Forces faction extorted money, coded as looting, from civilians at an illegal checkpoint on the main road in Bamessing (Tubah, Mezam, Nord-Ouest).",S,V,0.8999999999999999,0.99,2,0.99
