event_id,true_label,actor_norm,notes,pred_label_gemma3:4b,pred_label_llama3.2:3b,pred_label_mistral:7b,pred_label_olmo2:7b,pred_prob_gemma3:4b,pred_prob_llama3.2:3b,pred_prob_mistral:7b,pred_prob_olmo2:7b,disagreement_count,max_confidence
NIG21935,B,Zamfara Communal Militia (Nigeria),"On 11 September 2021, a Zamfara militias attacked a security forces base in Dan Sadau (Maru, Zamfara). Twelve security personnel, including military and police officers, were killed.",B,V,B,V,0.92,0.98,0.9499999999999998,0.99,2,0.99
NIG34375,S,Islamic State West Africa Province (ISWAP),"Looting: On 26 December 2023, ISWAP raided and looted drugs from a Primary Health Care center in Mainok (Kaga, Borno).",V,E,V,E,0.92,0.99,0.85,0.9499999999999998,2,0.99
NIG35732,B,Police Forces of Nigeria (2023-),"On 25 March 2024, police forces engaged a leader of Greenlanders cult militia in an armed clash at the forest in Anambra, coded to Akinima (Ahoada West, Rivers). The militia leader who was declared wanted by the police since 2016 was killed.",B,B,B,V,0.8800000000000001,0.99,0.9499999999999998,0.9499999999999998,2,0.99
NIG20879,S,Unidentified Armed Group (Nigeria),"Property destruction: On 29 May 2021, armed individuals set the Police Criminal Investigation Department on fire in Umuahia (Umuahia North LGA, Abia). No reports on injuries or fatalities.",R,E,R,V,0.8800000000000001,0.99,0.85,0.9499999999999998,3,0.99
NIG23414,R,Rioters (Nigeria),"On 27 January 2022, a group of motorists tried to attack a soldier at a checkpoint at the Onitsha Bridgehead (Onisha North, Anambra) after a revenue collector was killed by a stray bullet. Reinforcement of soldiers were deployed to dispel the motorists, and the soldier was unharmed.",V,P,V,V,0.8700000000000001,0.99,0.78,0.85,2,0.99
NIG17107,V,Police Forces of Nigeria (2015-2023),"On 26 May 2020, Police officers attacked and detained a group of officers from Lagos State Building Control Agency during an inspection in Aja (Eti-Osa LGA, Lagos). They also shot in the air. No fatalities and/or injuries reported.",V,P,V,E,0.8800000000000001,0.99,0.75,0.9499999999999998,3,0.99
NIG23775,E,Military Forces of Nigeria (2015-2023),"Around 13 February 2022 (as reported), Nigerian troops carried out airstrikes against ISWAP camps in Tumbun Kaiyowa (Abadan, Borno), Tumbun Madayi, Tumbun Allura, Parisu and Njimia [coded separately]. Five militant leaders were killed in the strikes across the locations, five fatalities split across five events, coded as 1.",E,S,B,E,0.97,0.83,0.9499999999999998,0.99,3,0.99
NIG36519,E,Military Forces of Nigeria (2023-),"On 3 May 2024, the air component of Operation Hadin Kai conducted an airstrike which targeted Boko Haram/ ISWAP militants at Chinine (Gwoza, Borno). Seven gun trucks which were observed at the location were targeted, several militants were killed and logistics were destroyed. Fatalities coded as 10.",B,B,B,E,0.92,0.99,0.9499999999999998,0.9499999999999998,2,0.99
NIG21924,B,Unidentified Armed Group (Nigeria),"On 9 September 2021, gunmen engaged police officers in an armed clash that led to the killing of three police officers and the abduction of an unspecified number of expatriates in Akukutoru LGA (Rivers) coded as Abonnema. The abducted expatriates were released around 4 October.",B,B,B,V,0.8800000000000001,0.99,0.8999999999999999,0.9499999999999998,2,0.99
NIG21210,B,Military Forces of Nigeria (2015-2023),"On 26 June 2021, military and police members of the Task Force killed two kidnappers in Koton-Karfe (Kogi LGA, Kogi).",B,B,B,V,0.92,0.99,0.9499999999999998,0.9499999999999998,2,0.99
NIG20679,B,Police Forces of Nigeria (2015-2023),"On 10 May 2021, Nigerian police operatives clashed with suspected kidnappers at Ahor community (Ehor) (Uhunmwode LGA, Edo), killing three and rescuing seven kidnapped victims.",V,B,B,E,0.92,0.99,0.92,0.9499999999999998,3,0.99
NIG33620,E,Military Forces of Nigeria (2023-),"On 8 November 2023, the Nigerian Air Force of Operation Hadin Kai launched air strikes against the ISWAP position at Ajigin (Damboa, Borno). The air surveillance detected the gathering of the militants and launched the strikes, killing seventeen ISWAP fighters. Three of the militia's gun trucks were destroyed.",B,B,B,E,0.92,0.99,0.98,0.99,2,0.99
NIG29935,E,Military Forces of Nigeria (2015-2023),"On 10 February 2023, the Nigerian Air Force carried out air strikes with rockets and bombs that targeted hundreds of Boko Haram [JAS faction] fighters who were holding a meeting on the fringes of Sambisa Forest Reserve in Gaizuwa, Bama LGA (Borno). Scores of fighters including high-ranking ones were killed, dozens of others sustained critical injuries.",B,E,B,E,0.92,0.99,0.9499999999999998,0.9499999999999998,2,0.99
NIG21894,E,Military Forces of Nigeria (2015-2023),"Around 6 September 2021 (as reported), military forces of Nigeria killed the leader of an armed militia in an air strike at Shinkafi (Shinkafi, Zamfara).",B,B,B,V,0.92,0.99,0.9499999999999998,0.9499999999999998,2,0.99
NIG17363,V,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 12 June 2020, Boko Haram executed a police officer and a soldier in Borno (coded as Maiduguri LGA, Borno) who were abducted earlier.",V,B,V,V,0.92,0.99,0.9499999999999998,0.9499999999999998,2,0.99
NIG36992,V,Islamic State West Africa Province (ISWAP),"On 19 May 2024, ISWAP fighters abducted a man and later killed him along the Banki-Kumshe Road near Kumshe (Bama, Borno). They also stole an unspecified number of bicycles belonging to IDPs.",V,E,V,V,0.92,0.98,0.92,0.9499999999999998,2,0.98
NIG38445,B,SEC: Supreme Eiye Confraternity (Nigeria),"On 5 August 2024, the Buccaneers and Eiye clashed and killed one person in Ake Junction, Abeokuta (Abeokuta South, Ogun).",B,B,V,V,0.92,0.98,0.8999999999999999,0.85,2,0.98
NIG29598,B,Police Forces of Nigeria (2015-2023),"On 7 January 2023, the police and the local hunters attacked an unidentified armed group in their enclave in Mansur forest, Mansur (Alkaleri, Bauchi). The police shot and killed two members of the group during a gun battle and recovered a fabricated SMG rifle and three operational motorcycles (Honda Bajaj). 2 fatalities reported.",B,B,B,V,0.8800000000000001,0.98,0.9499999999999998,0.9499999999999998,2,0.98
NIG26789,V,Amagba Communal Militia (Nigeria),"On 12 August 2021, Amagba and Obazagbon militias attacked Oke-Oroma (Ikpoba Okha, Edo) coded as Oka, shooting sporadically. Unspecified number of buildings were burnt. Security operatives were deployed but no clashes reported",V,E,V,R,0.8800000000000001,0.98,0.85,0.85,3,0.98
NIG27386,B,SVC: Supreme Vikings Confraternity (Nigeria),"On 16 October 2020, the Supreme Vikings cult militias clashed with one another in Ugbomoro community (Uvwie, Delta) coded as Effurun. One person was killed.",B,B,B,V,0.8800000000000001,0.98,0.9499999999999998,0.9499999999999998,2,0.98
