event_id,true_label,actor_norm,notes,pred_label_gemma3:4b,pred_label_llama3.2:3b,pred_label_mistral:7b,pred_label_olmo2:7b,pred_prob_gemma3:4b,pred_prob_llama3.2:3b,pred_prob_mistral:7b,pred_prob_olmo2:7b,disagreement_count,max_confidence
NIG31066,B,Military Forces of Nigeria (2015-2023),"On 20 April 2023, troops of 21 Armored Brigade of Operation Hadin Kai, 199 Special Forces Battalion and Civilian JTF clashed with dozens of Boko Haram [JAS] militants at Ukuba and Garin Glucose in Bama LGA (Borno). 9 militants were killed others escaped with bullet wounds, one truck and two 122 artillery guns were recovered by the troops, some women who were held by captive were rescued during the operations which lasted three days.",B,S,B,B,0.8800000000000001,0.99,0.9499999999999998,0.9499999999999998,2,0.99
NIG36383,S,Police Forces of Nigeria (2023-),"On 12 January 2024, the Nigerian police arrested a Kaduna militia's kingpin around the Abuja-Kaduna Road flyover by Rido Junction, coded to Rido (Chikun, Kaduna). The kingpin was responsible for many high-profile attacks and abductions in the area. The police recovered forty- eight AK-47 rifles from him.",B,B,S,B,0.85,0.99,0.9499999999999998,0.9499999999999998,2,0.99
NIG34705,S,Government of Nigeria (2023-),"Security measures: On 23 January 2024, the governor of Plateau state imposed a 24 hour curfew on Mangu LGA (Plateau) following violence which broke out in different parts of the town [coded separately].",R,S,S,P,0.85,0.99,0.9499999999999998,0.85,3,0.99
NIG34375,S,Islamic State West Africa Province (ISWAP),"Looting: On 26 December 2023, ISWAP raided and looted drugs from a Primary Health Care center in Mainok (Kaga, Borno).",V,E,E,E,0.85,0.99,0.9499999999999998,0.9499999999999998,2,0.99
NIG21894,E,Military Forces of Nigeria (2015-2023),"Around 6 September 2021 (as reported), military forces of Nigeria killed the leader of an armed militia in an air strike at Shinkafi (Shinkafi, Zamfara).",B,S,B,B,0.85,0.99,0.9499999999999998,0.9499999999999998,2,0.99
NIG33348,V,Unidentified Armed Group (Nigeria),"Around 27 October 2023 (as reported), an unidentified armed group abducted a soldier (presumed to be off duty) at the Akparata axis of Effium (Ohaukwu, Ebonyi). The soldier was part of the contingent deployed to manage inter-communal clashes in the area. The State government issued an ultimatum to the warring communities to provide the soldier alive by 26 October 2023.",B,S,V,B,0.85,0.99,0.85,0.85,3,0.99
NIG17363,V,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 12 June 2020, Boko Haram executed a police officer and a soldier in Borno (coded as Maiduguri LGA, Borno) who were abducted earlier.",B,B,V,V,0.85,0.99,0.9499999999999998,0.99,2,0.99
NIG25857,V,Unidentified Armed Group (Nigeria),"On 29 July 2022, an unidentified armed group abducted a gold miner and his driver along Ilesa-Oshogbo (Osogbo, Osun). A ransom of 100 million naira was demanded for the miner, the victims were released around 8 August after 20 million naira was paid as ransom.",V,S,R,V,0.75,0.99,0.9499999999999998,0.9499999999999998,3,0.99
NIG33741,S,Military Forces of Nigeria (2023-),"Around 17 November 2023, the Security Joint Task Force, including the police, the military and NSCDC, arrested 135 people at various locations in Abuja (Abuja Municipal, Federal Capital Territory). They raided various locations in a clearance operation to get the hoodlums off the city. The suspects were arrested for various offences.",S,S,S,B,0.85,0.99,0.92,0.9499999999999998,2,0.99
NIG23775,E,Military Forces of Nigeria (2015-2023),"Around 13 February 2022 (as reported), Nigerian troops carried out airstrikes against ISWAP camps in Tumbun Kaiyowa (Abadan, Borno), Tumbun Madayi, Tumbun Allura, Parisu and Njimia [coded separately]. Five militant leaders were killed in the strikes across the locations, five fatalities split across five events, coded as 1.",B,S,B,B,0.85,0.99,0.9499999999999998,0.9499999999999998,2,0.99
NIG35468,V,Unidentified Armed Group (Nigeria),"On 10 March 2024, an unidentified armed group numbering six abducted a Chinese national from a guest house around Eyenkorin in Ilorin (Ilorin West, Kwara) where he was lodged. The police claimed to have arrested three suspects in connection with the abduction. The abductee was rescued on 19 March by operatives of the state police command (there are no further details on ransom payment or a clash).",V,S,S,B,0.85,0.99,0.85,0.85,3,0.99
NIG36572,S,Military Forces of Nigeria (2023-),"Weapons seizure: Around 9 May 2024 (as reported), the Nigerian troops intercepted weapons from three gunrunners in the Sukuk community, coded to Kirsinga (Madagali, Adamawa). A locally fabricated Gun, a pistol, 59 rounds of 7.62 mm x 39 ammunition, two locally fabricated guns and 29 cartridges were recovered.",S,S,S,B,0.85,0.99,0.85,0.9499999999999998,2,0.99
NIG20554,B,Military Forces of Nigeria (2015-2023),"On 26 April 2021, Nigerian military clashed with ISWAP fighters following an attack on Gwoza LGA (Borno). No reported fatalities.",B,S,B,B,0.85,0.99,0.9499999999999998,0.9499999999999998,2,0.99
NIG36315,S,Military Forces of Nigeria (2023-),"Property destruction: Around 24 April 2024 (as reported), Nigerian troops and Katsina state Civilian JTF cleared suspected hideouts of Katsina militias at Shawu, Dugun Fakwu and Tafki villages in Faskari LGA (Katsina). One fabricated gun and other weapons were recovered.",B,S,S,B,0.85,0.99,0.92,0.85,2,0.99
NIG19811,E,Military Forces of Nigeria (2015-2023),"On 14 February 2021, Nigerian military forces conducted airstrikes against Boko Haram fighters in Egiri, Zira 1 and 2 villages in Biu LGA (Borno), following an attack in the area by BH. No reported fatalities.",B,S,B,B,0.85,0.99,0.9499999999999998,0.9499999999999998,2,0.99
NIG32631,B,Military Forces of Nigeria (2023-),"On 23 August 2023, the Nigerian military shot and killed four ISWAP fighters in Pulka (Gwoza, Borno) and Firgi, coded separately. Fatalities split across two locations, 2 coded.",B,V,B,B,0.8800000000000001,0.99,0.9499999999999998,0.9499999999999998,2,0.99
NIG25204,S,Bassa Kwomu Communal Militia (Nigeria),"Property destruction: On 9 June 2022, Bassa Kwomu militiamen set eight houses ablaze including the palace of the traditional ruler when they invaded Mozum (Bassa, Kogi). The militiamen were suspected to have been hired from Agatu in Benue state, the attack was a reprisal for the murder of a palm wine tapper [coded separately].",R,S,V,R,0.85,0.99,0.92,0.85,3,0.99
NIG31886,S,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 9 July 2023, a Boko Haram [JAS Faction] commander and one of his lieutenants surrendered to Nigerian troops in Borno, coded to Maiduguri (Maiduguri Metro, Borno).",S,S,S,B,0.85,0.99,0.9499999999999998,0.9499999999999998,2,0.99
NIG16365,E,Military Forces of Nigeria (2015-2023),"On 16 February 2020, Nigerian Air Force conducted air strikes against an ISWAP camp at Tumbin Zarami at Lake Chad (coded as Monguno, Borno) and destroyed structures.",E,S,B,B,0.92,0.99,0.9499999999999998,0.9499999999999998,3,0.99
NIG23779,B,Military Forces of Niger (2021-2023),"Around 13 February 2022 (between 12 - 15 February), the Nigerien contingent of MNJTF carried out a combined air-ground operation involving air and artillery strikes and ground assaults against Boko Haram (JAS or ISWAP Lake Chad faction) in the areas of Jabulam (Mobbar, Borno) and Abadam (Abadan, Borno) in Nigeria, and Bague Kiessa [Bague Kiessa Koura], Dagaya, Boulayi, and Boula Gana (Bosso, Diffa) in Niger. About twenty militants were killed and weapons and ammo seized. Fatalities are split across six events.",B,S,B,B,0.85,0.99,0.9499999999999998,0.9499999999999998,2,0.99
