event_id,true_label,actor_norm,notes,pred_label_acled-small-llm-ft:v1,pred_label_conflibert_finetuned_acled_v1_seed42,pred_label_gemma3:4b,pred_label_llama3.2:3b,pred_label_mistral:7b,pred_label_olmo2:7b,pred_prob_acled-small-llm-ft:v1,pred_prob_conflibert_finetuned_acled_v1_seed42,pred_prob_gemma3:4b,pred_prob_llama3.2:3b,pred_prob_mistral:7b,pred_prob_olmo2:7b,disagreement_count,max_confidence,ambiguity_score,ambiguity_tier,eas_label_entropy,eas_conf_uncertainty,eas_conf_dispersion,eas_text_ambiguity
CAO9055,V,Military Forces of Cameroon (1982-),"On 4 September 2022, military forces shot and killed a man in Besali (Wabane, Lebialem, Sud-Ouest) after he was mistaken for a separatist fighter following an exchange of fire between soldiers and Ambazonia Liberation Army fighters.",V,V,V,V,B,B,0.999999999999,0.9999766349792482,0.9499999999999998,0.8999999999999999,0.9499999999999998,0.85,2,0.999999999999,0.1936,Low,0.3552,0.0583,0.1067,0.1667
CAO3117,B,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 23 March 2020, Boko Haram were repulsed by the military after staging an attack on the village of Goshikale in Mora subdivision (Mayo-Sava, Extreme-Nord). Militants destroyed the local hospital and looted several houses, taking away 3 motorcycles.",B,B,V,B,B,B,0.999999999999,0.9998879432678224,0.85,0.999999999999,0.9499999999999998,0.85,2,0.999999999999,0.1295,Low,0.2515,0.0584,0.1343,0.0
CAO8281,S,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"Looting: On 18 December 2023, ISWAP or Boko Haram militants looted 2 houses in Waza (Waza, Logone-et-Chari, Extreme-Nord).",S,S,V,V,V,V,0.999999999999,0.9999853372573853,0.9499999999999998,0.999999999999,0.999999999999,0.85,2,0.999999999999,0.1548,Low,0.3552,0.0333,0.1106,0.0
CAO10079,S,Civilians (Cameroon),"Displacement: On 2 February 2023, civilians were displaced for fear of retaliation attacks from, the state security forces in Diongo (Dibombari, Moungo, Littoral) after suspected Ambazonian Separatists mounted an illegal checkpoint paralyzing vehicle movement.",S,S,V,V,P,V,0.999999999999,0.9999636411666872,0.9499999999999998,0.8999999999999999,0.85,0.85,3,0.999999999999,0.2748,Low,0.5645,0.075,0.1258,0.1667
CAO3188,V,Military Forces of Cameroon (1982-),"On 16 April 2020, military forces killed three former Ambazonian separatists in Balikumbat town (Ngo-ketunjia, Nord-Ouest).",B,V,V,V,B,B,0.999999999999,0.9999712705612184,0.9499999999999998,0.999999999999,0.8999999999999999,0.85,2,0.999999999999,0.171,Low,0.3869,0.05,0.1155,0.0
CAO13551,S,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 14 June 2024, 11 members of Boko Haram (JAS) (likely) militants surrendered to the military forces in Madakar (Mayo-Moskota, Mayo-Tsanaga, Extreme-Nord).",S,S,S,S,S,B,0.999999999999,0.9999936819076538,0.9499999999999998,0.999999999999,0.9499999999999998,0.85,2,0.999999999999,0.1198,Low,0.2515,0.0417,0.1067,0.0
CAO4946,V,Ambazonian Separatists (Cameroon),"On 13 January 2021, Ambazonian separatists kidnapped a truck driver and his assistant in Bukow village, Ndop subdivision (Ngo-Ketunjia, Nord-Ouest).",V,V,V,V,V,P,0.999999999999,0.9999865293502808,0.9499999999999998,0.999999999999,0.9499999999999998,0.8,2,0.999999999999,0.1288,Low,0.2515,0.05,0.1414,0.0
CAO4776,S,Military Forces of Cameroon (1982-),"Looting: Around 15 July 2020 (month of), the military forces raided Bengang village, Batibo subdivision (Momo, Nord-Ouest). They shot in the air, and then looted property.",S,S,V,R,R,R,0.999999999999,0.99998676776886,0.9499999999999998,0.8999999999999999,0.9499999999999998,0.8,3,0.999999999999,0.2417,Low,0.5645,0.0667,0.1374,0.0
CAO11075,B,Military Forces of Cameroon (1982-),"On 23 November 2023, the military forces ambushed Ambazonian Separatists from the Restoration Forces onboard a motorcycle in Konye (Konye, Meme, Sud-Ouest). The military forces members shot and injured one.",B,B,V,B,B,B,0.999999999999,0.9999260902404784,0.85,0.999999999999,0.9499999999999998,0.85,2,0.999999999999,0.1295,Low,0.2515,0.0583,0.1343,0.0
CAO10854,B,Military Forces of Cameroon (1982-),"On 18 December 2023, the military forces attacked Ambazonian Separatists leading to a clash in Bai Panya (Kumba 1, Meme, Sud-Ouest). Two Ambazonian Separatists were killed and four others arrested.",B,B,V,B,B,B,0.999999999999,0.9999659061431884,0.85,0.999999999999,0.9499999999999998,0.85,2,0.999999999999,0.1295,Low,0.2515,0.0583,0.1344,0.0
