event_id,true_label,actor_norm,notes,pred_label_gemma3:4b,pred_label_llama3.2:3b,pred_label_mistral:7b,pred_label_olmo2:7b,pred_prob_gemma3:4b,pred_prob_llama3.2:3b,pred_prob_mistral:7b,pred_prob_olmo2:7b,disagreement_count,max_confidence
CAO12845,V,Ambazonian Separatists (Cameroon),"On 9 December 2021, suspected Ambazonian separatist fighters killed a Fulani pastoralist at 3 Corners near Ntumbaw (Ndu, Donga-Mantung, Nord-Ouest). In retaliation, local Fulanis set ablaze more than 15 houses, and killed a bike who transported a uniformed officer to the scene [Coded as a separate event].",V,V,R,V,0.8899999999999999,0.92,0.8200000000000001,0.99,2,0.99
CAO2894,R,Rioters (Cameroon),"On 26 January 2020, one young man was burnt to death in Bamenda town (Mezam, Nord-Ouest), for allegedly trying to steal a motorcycle.",V,R,R,V,0.86,0.92,0.98,0.99,2,0.99
CAO13380,B,Military Forces of Cameroon (1982-),"On 4 April 2024, the security forces, coded as the military forces shot and killed an unknown Separatist commander at the market in Agyati (Bafut, Mezam, Nord-Ouest). The Separatist tried to escape leading to the military forces shooting him. He died of his injuries.",V,V,B,B,0.8999999999999999,0.99,0.98,0.8899999999999999,2,0.99
CAO13492,V,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 20 May 2024, Boko Haram (JAS) (likely) militants attacked and killed a civilian along the Limani - Mora road, coded to Limani (Mora, Mayo-Sava, Extreme-Nord).",V,V,E,V,0.92,0.92,0.98,0.99,2,0.99
CAO13493,V,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 20 May 2024, Boko Haram (JAS) (likely) militants slit the throat and killed a civilian between Kordo and Lelede, coded to Kordo (Kolofata, Mayo-Sava, Extreme-Nord). He had been abducted by the militants the previous day (coded as a separate event).",V,V,E,V,0.8800000000000001,0.99,0.98,0.99,2,0.99
CAO10613,S,Ambazonian Separatists (Cameroon),"Looting: On 10 May 2023, Ambazonian Separatists from the Restoration Forces extorted money amounting to 200,000 FCFA from a civilian whom they imposed as the new traditional chief in Makwe, Upper Bayang commune, coded to Tinto (Manyu, Sud-Ouest). They also forced the civilians to buy a motorcycle for the man to 'support his reign.' The legal leader fled to Mamfe when the Separatists demanded 500,000 FCFA from him.",V,V,R,V,0.86,0.92,0.92,0.99,2,0.99
CAO14584,S,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"Looting: On 21 August 2024, Boko Haram (JAS) (likely) militants looted 1 motorbike and goods along the Amchide - Ganse road in Guederou (Kolofata, Mayo-Sava, Extreme-Nord).",V,E,E,E,0.8899999999999999,0.99,0.98,0.98,2,0.99
CAO15428,V,Military Forces of Cameroon (1982-),"On 25 August 2024, security forces, coded as the military forces, beat and injured a group of 15 civilians along the main road in Ashing (Belo, Boyo, Nord-Ouest) accusing them of leaving a bag they suspected of carrying items used to manufacture IEDs near the military minor base.",V,V,E,V,0.8899999999999999,0.92,0.98,0.99,2,0.99
CAO10413,S,Military Forces of Cameroon (1982-),"Property destruction: On 6 April 2023, State security forces (Air Force), coded as the military forces, burned down 7 civilian houses in Maghow, coded to Akwaya (Akwaya,Manyu,Sud-Ouest). The Separatists also stole food items, money and other valuables. The houses were suspected of housing Separatists.",V,R,R,V,0.86,0.92,0.92,0.99,2,0.99
CAO6147,V,Ambazonian Separatists (Cameroon),"On 1 June 2022, Ambazonia separatists abducted 9 commercial bike riders near Fundong (Njinikom, Boyo, Nord-Ouest) after they had participated in the 20th May celebration despite the ban imposed by the Separatists. The Separatists also burnt their motorbikes.",V,V,R,V,0.8899999999999999,0.92,0.8999999999999999,0.99,2,0.99
CAO12120,V,Military Forces of Cameroon (1982-),"On 13 August 2023, state security forces, coded as military forces, shot and killed a suspected Ambazonian Separatist in Nkundu quarter in Njenka (Balikumbat, Ngo-Ketunjia, Nord-Ouest) and left his body by the road. He had been arrested earlier from his private residence after a tip-off.",V,V,B,V,0.92,0.93,0.98,0.99,2,0.99
